title,type,author,year,genre,rating,description
Information,other,Me,1234,Non-fiction,5.0,May contain spaces but will not contain commas.
Clean Code,book,Robert C. Martin,2008,Software Engineering,4.7,A handbook of agile software craftsmanship.
Mario Kart 8 Deluxe,game,Nintendo,2017,Racing,4.5,A fast-paced racing game featuring Mario universe characters.
Design Patterns,book,Erich Gamma,1994,Programming,4.5,Design Patterns: Elements of Reusable Object-Oriented Software is a software engineering book describing software design patterns.
Inception,movie,Christopher Nolan,2010,Thriller,4.6,Dom Cobb (Leonardo DiCaprio) is a thief with the rare ability to enter people's dreams and steal their secrets from their subconscious. His skill has made him a hot commodity in the world of corporate espionage but has also cost him everything he loves.
Beyond "blah blah blah": exploring the "how" of transformation,paper,Julia Bentz; Karen O'Brien & Morgan Scoville-Simonds,2022,,,Calls for transformations are clear and multiple pathways and alternative visions for the future have been defined. We then present insights from the collection of papers that focus on the "how" of transformation. The papers describe different ways of integrating the means and the manner in transformation processes.
Can't Contain It,music,Mustard Plug,2014,Ska punk,4.0,Dave Kirchgessner stated that the album "is strong evolution in our sound and our art while still staying true to the goal of playing party music for punk rockers."
Polka Pit,music,The Dreadnoughts,2025,Folk and Celtic Punk,5.0,The Dreadnoughts are trying to start a revolution and Polka Pit is the soundtrack.
Dark Connection,music,Beast in Black,2021,Power metal,4.8,Dark Connection is the third studio album by Finnish heavy metal band Beast in Black.
Video restoration based on deep learning: a comprehensive survey,paper,Claudio Rota; Marco Buzzelli; Simone Bianco & Raimondo Schettini,2023,,,Video restoration concerns the recovery of a clean video sequence starting from its degraded version. In this paper we provide a comprehensive review of the main features of existing video restoration methods based on deep learning.
AI-driven enhancement of historical documents,paper,Zahra Ziran; Massimo Mecella & Simone Marinai,2025,,,This work contributes to improving the quality of historical document analysis particularly for graphical symbol interpretation in paleographical studies.
Ethical Decision Making in Autonomous Vehicles: The AV Ethics Project,paper,Katherine Evans; Nelson de Moura; Stéphane Chauvier; Raja Chatila & Ebru Dogan,2020,,,In this article a strategy for AV decision-making is proposed...
Enchanted Crystal Railroad,music,Frøggë,2024,Power Metal,3.9,Another awesome dumbass psuedo band from Christopher Bowes.
The central role of trust and perceived risk in the acceptance of autonomous vehicles in an integrated UTAUT model,paper,sófia Kenesei; László Kökény; Katalin Ásványi & Melinda Jászberényi,2025,,,We draw implications for theory and practice from our results concentrating mainly on the potential to enhance trust in AVs.
Research on Speech Intonation Recognition Technology Based on Deep Learning in Human-Computer Interaction,paper,Jiajun Ge; Beize Lin; & Jiaqi Zhang,2026,,,This study focuses on intonation recognition technology.
Deep Forgery Defense System for Live Agricultural E-Commerce—A Meta-Learning-Based Dynamic Verification Model for Anchor Voiceprints,paper,Zhimin Liang; Zhimin Liang & Zhimin Liang,2026,,,In this paper a deep forgery defense system for live agricultural products e-commerce is constructed to guarantee the authenticity and security of e-commerce.
Enhancing Emotional Expressiveness in Voice Conversion Using Seq2Seq and CycleGAN,paper,Didi Faouzi; Abdullayev Vugar; Hayal Mohammed R. & Ebrahim E. Elsayed,2026,,,This paper proposes a high-fidelity emotional voice conversion framework that integrates Sequence-to-Sequence (Seq2Seq) temporal modeling with Cycle-Consistent Generative Adversarial Networks (CycleGAN).
Deepfake Speech Detection Using Perceptual Pathological Features Related to Timbral Attributes and Deep Learning,paper,Anuwat Chaiwongyen; Khalid Zaman; Kai Li; Suradej Duangpummet; Jessada Karnjana; Waree Kongprawechnon; & Masashi Unoki,2026,,,This study investigates perceptual speech-pathological features which are commonly used to evaluate the unnaturalness of voice disorders in clinical settings as potential indicators for detecting deepfake speech.
Matrix Factorization Techniques for Recommender Systems,paper,Yehuda Koren; Robert Bell & Chris Volinsky,2009,,,Matrix factorization models are superior to classic nearest neighbor techniques for producing product recommendations allowing the incorporation of additional information.
Artificial intelligence for web development: Perspectives from the industry,paper,Pyry Pohjalainen & Juho Vepsäläinen,2026,,,With the introduction of Artificial Intelligence (AI) web development is again at the cusp of a transformation as the latest AI tools might change how to develop for the web yet again. The objective of this study is to look into this phenomenon and understand how AI is changing web development.
Understanding Topics API in the Wild: Dubious Usage and Stale Adoption,paper,Alberto Verna; Nikhil Jha; Martino Trevisan & Marco Mellia,2025,,,Google's new Topics API is widely discussed as a possible solution to balancing privacy and utility for online targeted advertising. This paper provides a first complete independent study of current adoption of the Topics API technology in the wild to observe whether popular advertising platforms are already deploying it and how.
Detection and Classification of Cetacean Echolocation Clicks using Image-based Object Detection Methods applied to Advanced Wavelet-based Transformations,paper,Christopher Hauer,2025,,,A challenge in marine bioacoustic analysis is the detection of animal signals for behavioral studies. Manual labeling is too time-consuming to process sufficient data to get reasonable results. Thus an automatic solution to overcome the time-consuming data analysis is necessary.
Language-Agnostic Modeling of Source Reliability on Wikipedia,paper,Jacopo D'Ignazi; Andreas Kaltenbrunner; Yelena Mejova; Michele Tizzani; Kyriaki Kalimeri; Mariano G. Beiró & Pablo Aragón,2026,,,We present a language-agnostic model designed to assess the reliability of web domains as sources in references across multiple language editions of Wikipedia.
Nioh 3,game,Koei Tecmo & Team Ninja,2026,Action RPG,4.5,Nioh 3 is the eagerly anticipated continuation of the dark samurai action RPG series Nioh.
Middle-earth: Shadow of War,game,WB Games & Monolith Productions,2017,Action/Adventure,4.5,Go behind enemy lines to forge your army to conquer fortresses and dominate Mordor from within.
The Cabin in the Woods,movie,Drew Goddard,2011,Horror,4.0,Five friends go for a break at a remote cabin in the woods where they get more than they bargained for.
Let That Sh*t Go: Find Peace of Mind and Happiness in Your Everyday,book,Nina Purewal & Kate Petriw,2021,Self-Help,3.8,A no-nonsense guide to finding calm when life feels like a storm.
Attention Seeker: A Neurodivergent Comedian's Guide to Thriving with ADHD,book,Darcy Michael,2026,Autobiography,4.6,a hilarious memoir with a message about living with adult ADHD from neurodivergent comedian Darcy Michael.
The Brain Never Sleeps: Why We Dream and What It Means for Our Health,book,Karen van Kampen,2026,Neuroscience,3.8,We all dream but do we know why we dream? Discover what goes on behind our eyelids and what it means for our health.
God of War,game,Sony Interactive Entertainment & SIE Santa Monica Studio,2018,Action/Adventure,4.8,After wiping out the gods of Mount Olympus Kratos moves on to the frigid lands of Scandinavia where he and his son must embark on an odyssey across a dangerous world of gods and monsters.
Mortal Kombat II,game,Midway Games,1993,Fighting,4.1,A fast-paced violent 2D fighting game that continues the storyline of the original Mortal Kombat.
The Talos Principle,game,Devolver Digital & Croteam,2014,Puzzle,4.4,The Talos Principle is a first-person puzzle game in the tradition of philosophical science fiction.
Cuphead,game,Studio MDHR,2017,Run-and-gun,4.7,Cuphead is a classic run and gun action game heavily focused on boss battles.
Superman 64,game,Titus Interactive,1999,Action,1.3,Based on the animated television series Superman: The Animated Series and is the first 3D video game featuring Superman.
#FCKCRN,music,Hämatom,2020,Industrial Metal,4.3,A raw confrontational EP built on distortion urgency and defiance unfiltered sound for burning through the noise and moving forward.
Star Wars Battlefront II,game,Electronic Arts & DICE,2017,Shooter,3.3,Experience the first-ever open-world Star Wars game set between the events of The Empire Strikes Back and Return of the Jedi.
Swiss Army Man,movie,Daniel Kwan & Daniel Scheinert,2016,Comedy,3.5,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.
Tusk,movie,Kevin Smith,2014,Horror,2.5,A U.S. podcaster (Justin Long) ventures into the Canadian wilderness to interview an old man (Michael Parks) who has an extraordinary past and the American learns the man has a dark secret involving a walrus.
Dragonball Evolution,movie,James Wong,2009,Action,1.2,The young warrior Son Goku sets out on a quest racing against time and the vengeful King Piccolo to collect a set of seven magical orbs that will grant their wielder unlimited power.
Breaking Bad,tv,Vince Gilligan,2008,Drama,4.4,Mild-mannered high school chemistry teacher Walter White thinks his life can't get much worse.
Ōkami HD,game,CAPCOM,2017,Action/Adventure,4.9,Experience the critically acclaimed masterpiece with its renowned Sumi-e ink art style in breathtaking high resolution.
Fahrenheit 451,book,Ray Bradbury,1953,Dystopian,4.5,Fahrenheit 451 stands as a classic of world literature set in a bleak dystopian future. Today its message has grown more relevant than ever before.
Amélie,movie,Jean-Pierre Jeunet,2001,Romantic Comedy,4.2,It tells the story of Amélie Poulain who is a shy and quirky waitress that decides to change the lives of those around her for the better.
Ænima,music,Tool,1996,Alternative Metal,4.9,A critically acclaimed album blending progressive metal with philosophical themes.
Låt den rätte komma in,movie,Tomas Alfredson,2008,Horror,4.1,A haunting Swedish vampire film centered on loneliness and friendship.
Debut,music,Björk Guðmundsdóttir,1993,Electronic,4.4,The debut studio album by Icelandic singer Björk blending electronic and pop elements.
Élite,tv,Carlos Montero & Darío Madrona,2018,Drama,4.0,A Spanish-language thriller series centered on class conflict and murder.
La vita è bella,movie,Roberto Benigni,1997,Drama,4.6,A touching story about a father who uses humor to shield his son from the horrors of war.
